avaliacao;user;entidade_id;status
1;1124;5570;V
1;1124;5572;V
1;1124;5597;V
1;1124;5601;V
1;1124;5627;V
1;1124;5629;V
1;1124;5642;V
1;1124;5679;V
1;1124;5696;V
1;1124;5723;V
1;1124;5730;V
1;1124;5752;V
1;1124;5761;V
1;1124;5769;V
1;1124;5774;V
1;1124;5789;V
1;1124;5815;V
1;1124;5818;V
1;1124;5840;V
1;1124;5842;V
1;1124;5853;V
1;1124;5876;V
1;1124;5878;V
1;1124;5879;V
1;1124;5888;V
1;1124;5945;V
1;1124;5971;V
1;1124;6000;V
1;1124;6011;V
1;1124;6033;V
1;1124;6118;V
1;1124;6143;V
1;1124;6242;V
1;1124;6253;V
1;1124;6279;V
1;1124;6288;V
1;1124;6328;V
1;1124;6349;V
1;1124;6369;V
1;1124;6372;V
1;1124;6376;V
1;1124;6391;V
1;1124;6408;V
1;1124;6410;V
1;1124;6417;V
1;1124;6433;V
1;1124;6448;V
1;1124;6475;V
1;1124;6476;V
1;1124;6508;V
1;1124;6510;V
1;1124;6522;V
1;1124;6525;V
1;1124;6545;V
1;1124;6555;V
1;1124;6565;V
1;1124;6703;V
1;1124;6742;V
1;1124;6749;V
1;1124;6765;V
1;1124;6770;V
1;1124;6794;V
1;1124;6807;V
1;1124;6818;V
1;1124;6842;V
1;1124;6861;V
1;1124;6875;V
1;1124;6984;V
1;1124;6993;V
1;1124;6994;V
1;1124;7029;V
1;1124;7031;V
1;1124;7036;V
1;1124;7039;V
1;1124;7065;V
1;1124;7095;V
1;1124;7097;V
1;1124;7103;V
1;1124;7133;V
1;1124;7144;V
1;1124;7198;V
1;1124;7210;V
1;1124;7211;V
1;1124;7290;V
1;1124;7306;V
1;1124;7322;V
1;1124;7360;V
1;1124;7370;V
1;1124;7389;V
1;1124;7395;V
1;1124;7448;V
1;1124;7491;V
1;1124;7492;V
1;1124;7493;V
1;1124;7495;V
1;1124;7497;V
1;1124;7499;V
1;1124;7501;V
1;1124;7509;V
1;1124;7564;V
1;1124;7577;V
1;1124;7584;V
1;1124;7601;V
1;1124;7621;V
1;1124;7628;V
1;1124;7630;V
1;1124;7642;V
1;1124;7753;V
1;1124;7767;V
1;1124;7780;V
1;1124;7786;V
1;1124;7803;V
1;1124;7810;V
1;1124;7848;V
1;1124;7857;V
1;1124;7880;V
1;1124;7881;V
1;1124;7893;V
1;1124;7924;V
1;1124;7949;V
1;1124;7967;V
1;1124;7978;V
1;1124;7991;V
1;1124;8011;V
1;1124;8026;V
1;1124;8078;V
1;1124;8101;V
1;1124;8118;V
1;1124;8128;V
1;1124;8146;V
1;1124;8185;V
1;1124;8229;V
1;1124;8276;V
1;1124;8334;V
1;1124;8391;V
1;1124;8432;V
1;1124;8445;V
1;1124;8493;V
1;1124;8553;V
1;1124;8589;V
1;1124;8597;V
1;1124;8632;V
1;1124;8634;V
1;1124;8639;V
1;1124;8680;V
1;1124;8702;V
1;1124;8733;V
1;1124;8736;V
1;1124;8737;V
1;1124;8748;V
1;1124;8751;V
1;1124;8764;V
1;1124;8768;V
1;1124;8781;V
1;1124;8799;V
1;1124;8824;V
1;1124;8827;V
1;1124;8838;V
1;1124;8859;V
1;1124;8863;V
1;1124;8880;V
1;1124;8893;V
1;1124;8900;V
1;1124;8938;V
1;1124;8956;V
1;1124;8965;V
1;1124;8968;V
1;1124;8984;V
1;1124;9029;V
1;1124;9059;V
1;1124;9062;V
1;1124;9072;V
1;1124;9088;V
1;1124;9111;V
1;1124;9115;V
1;1124;9116;V
1;1124;9123;V
1;1124;9160;V
1;1124;9176;V
1;1124;9324;V
1;1124;9332;V
1;1124;9352;V
1;1124;9395;V
1;1124;9410;V
1;1124;9425;V
1;1124;9426;V
1;1124;9442;V
1;1124;9482;V
1;1124;9503;V
1;1124;9508;V
1;1124;9512;V
1;1124;9550;V
1;1124;9613;V
1;1124;9653;V
1;1124;9725;V
1;1124;9726;V
1;1124;9809;V
1;1124;9814;V
1;1124;9856;V
1;1124;9907;V
1;1124;9917;V
1;1124;9942;V
1;1124;9957;V
1;1124;9969;V
1;1124;9975;V
1;1124;10058;V
1;1124;10061;V
1;1124;10069;V
1;1124;10081;V
1;1124;10088;V
1;1124;10107;V
1;1124;10111;V
1;1124;10121;V
1;1124;10184;V
1;1124;10212;V
1;1124;10260;V
1;1124;10262;V
1;1124;10379;V
1;1124;10385;V
1;1124;10407;V
1;1124;10414;V
1;1124;10420;V
1;1124;10475;V
1;1124;10532;V
1;1124;10581;V
1;1124;10615;V
1;1124;10626;V
1;1124;10634;V
1;1124;10736;V
1;1124;10779;V
1;1124;10782;V
1;1124;10861;V
1;1124;10867;V
1;1124;10874;V
1;1124;10908;V
1;1124;10909;V
1;1124;10933;V
1;1124;10962;V
1;1124;10963;V
1;1124;10980;V
1;1124;10996;V
1;1124;11010;V
1;1124;11057;V
1;1124;11061;V
1;1124;11073;V
1;1124;11082;V
