avaliacao;user;entidade_id;status
1;1;5570;V
1;1;5572;V
1;1;5597;V
1;1;5601;V
1;1;5627;V
1;1;5629;V
1;1;5642;V
1;1;5679;V
1;1;5696;V
1;1;5723;V
1;1;5730;V
1;1;5752;V
1;1;5761;V
1;1;5769;V
1;1;5774;V
1;1;5789;V
1;1;5815;V
1;1;5818;V
1;1;5840;V
1;1;5842;V
1;1;5853;V
1;1;5876;V
1;1;5878;V
1;1;5879;V
1;1;5888;V
1;1;5945;V
1;1;5971;V
1;1;6000;V
1;1;6011;V
1;1;6033;V
1;1;6118;V
1;1;6143;V
1;1;6242;V
1;1;6253;V
1;1;6279;V
1;1;6288;V
1;1;6328;V
1;1;6349;V
1;1;6369;V
1;1;6372;V
1;1;6376;V
1;1;6391;V
1;1;6408;V
1;1;6410;V
1;1;6417;V
1;1;6433;V
1;1;6448;V
1;1;6475;V
1;1;6476;V
1;1;6508;V
1;1;6510;V
1;1;6522;V
1;1;6525;V
1;1;6545;V
1;1;6555;V
1;1;6565;V
1;1;6703;V
1;1;6742;V
1;1;6749;V
1;1;6765;V
1;1;6770;V
1;1;6794;V
1;1;6807;V
1;1;6818;V
1;1;6842;V
1;1;6861;V
1;1;6875;V
1;1;6984;V
1;1;6993;V
1;1;6994;V
1;1;7029;V
1;1;7031;V
1;1;7036;V
1;1;7039;V
1;1;7065;V
1;1;7095;V
1;1;7097;V
1;1;7103;V
1;1;7133;V
1;1;7144;V
1;1;7198;V
1;1;7210;V
1;1;7211;V
1;1;7290;V
1;1;7306;V
1;1;7322;V
1;1;7360;V
1;1;7370;V
1;1;7389;V
1;1;7395;V
1;1;7448;V
1;1;7491;V
1;1;7492;V
1;1;7493;V
1;1;7495;V
1;1;7497;V
1;1;7499;V
1;1;7501;V
1;1;7509;V
1;1;7564;V
1;1;7577;V
1;1;7584;V
1;1;7601;V
1;1;7621;V
1;1;7628;V
1;1;7630;V
1;1;7642;V
1;1;7753;V
1;1;7767;V
1;1;7780;V
1;1;7786;V
1;1;7803;V
1;1;7810;V
1;1;7848;V
1;1;7857;V
1;1;7880;V
1;1;7881;V
1;1;7893;V
1;1;7924;V
1;1;7949;V
1;1;7967;V
1;1;7978;V
1;1;7991;V
1;1;8011;V
1;1;8026;V
1;1;8078;V
1;1;8101;V
1;1;8118;V
1;1;8128;V
1;1;8146;V
1;1;8185;V
1;1;8229;V
1;1;8276;V
1;1;8334;V
1;1;8391;V
1;1;8432;V
1;1;8445;V
1;1;8493;V
1;1;8553;V
1;1;8589;V
1;1;8597;V
1;1;8632;V
1;1;8634;V
1;1;8639;V
1;1;8680;V
1;1;8702;V
1;1;8733;V
1;1;8736;V
1;1;8737;V
1;1;8748;V
1;1;8751;V
1;1;8764;V
1;1;8768;V
1;1;8781;V
1;1;8799;V
1;1;8824;V
1;1;8827;V
1;1;8838;V
1;1;8859;V
1;1;8863;V
1;1;8880;V
1;1;8893;V
1;1;8900;V
1;1;8938;V
1;1;8956;V
1;1;8965;V
1;1;8968;V
1;1;8984;V
1;1;9029;V
1;1;9059;V
1;1;9062;V
1;1;9072;V
1;1;9088;V
1;1;9111;V
1;1;9115;V
1;1;9116;V
1;1;9123;V
1;1;9160;V
1;1;9176;V
1;1;9324;V
1;1;9332;V
1;1;9352;V
1;1;9395;V
1;1;9410;V
1;1;9425;V
1;1;9426;V
1;1;9442;V
1;1;9482;V
1;1;9503;V
1;1;9508;V
1;1;9512;V
1;1;9550;V
1;1;9613;V
1;1;9653;V
1;1;9725;V
1;1;9726;V
1;1;9809;V
1;1;9814;V
1;1;9856;V
1;1;9907;V
1;1;9917;V
1;1;9942;V
1;1;9957;V
1;1;9969;V
1;1;9975;V
1;1;10058;V
1;1;10061;V
1;1;10069;V
1;1;10081;V
1;1;10088;V
1;1;10107;V
1;1;10111;V
1;1;10121;V
1;1;10184;V
1;1;10212;V
1;1;10260;V
1;1;10262;V
1;1;10379;V
1;1;10385;V
1;1;10407;V
1;1;10414;V
1;1;10420;V
1;1;10475;V
1;1;10532;V
1;1;10581;V
1;1;10615;V
1;1;10626;V
1;1;10634;V
1;1;10736;V
1;1;10779;V
1;1;10782;V
1;1;10861;V
1;1;10867;V
1;1;10874;V
1;1;10908;V
1;1;10909;V
1;1;10933;V
1;1;10962;V
1;1;10963;V
1;1;10980;V
1;1;10996;V
1;1;11010;V
1;1;11057;V
1;1;11061;V
1;1;11073;V
1;1;11082;V
